instance,seed,n_assets,cardinality,risk_aversion,penalty_multiplier,penalty,selected_cardinality,cardinality_violation,feasible,base_objective,exact_constrained_objective,feasible_gap,qubo_energy
0,2026,10,3,0.5,0.0,0.0,10,7,False,-0.739999481555849,-0.3355659378293815,,-0.7399994815558492
0,2026,10,3,0.5,0.001,0.0014171673047324296,10,7,False,-0.739999481555849,-0.3355659378293815,,-0.6705582836239602
0,2026,10,3,0.5,0.01,0.014171673047324296,6,3,False,-0.5705812986617449,-0.3355659378293815,,-0.4430362412358262
0,2026,10,3,0.5,0.03,0.042515019141972886,4,1,False,-0.4234795411279266,-0.3355659378293815,,-0.3809645219859538
0,2026,10,3,0.5,0.1,0.14171673047324296,3,0,True,-0.3355659378293815,-0.3355659378293815,0.0,-0.3355659378293814
0,2026,10,3,0.5,0.3,0.4251501914197289,3,0,True,-0.3355659378293815,-0.3355659378293815,0.0,-0.3355659378293814
0,2026,10,3,0.5,1.0,1.4171673047324296,3,0,True,-0.3355659378293815,-0.3355659378293815,0.0,-0.3355659378293794
0,2026,10,3,0.5,3.0,4.251501914197289,3,0,True,-0.3355659378293815,-0.3355659378293815,0.0,-0.3355659378293758
1,2027,10,3,0.5,0.0,0.0,7,4,False,-0.5099995695743424,-0.3027236076082919,,-0.5099995695743426
1,2027,10,3,0.5,0.001,0.0013408184218656745,6,3,False,-0.5026680342461392,-0.3027236076082919,,-0.4906006684493481
1,2027,10,3,0.5,0.01,0.013408184218656746,5,2,False,-0.44033312137252734,-0.3027236076082919,,-0.3867003844979004
1,2027,10,3,0.5,0.03,0.04022455265597023,4,1,False,-0.36601755729113794,-0.3027236076082919,,-0.3257930046351678
1,2027,10,3,0.5,0.1,0.13408184218656746,3,0,True,-0.3027236076082919,-0.3027236076082919,0.0,-0.3027236076082919
1,2027,10,3,0.5,0.3,0.4022455265597023,3,0,True,-0.3027236076082919,-0.3027236076082919,0.0,-0.30272360760829287
1,2027,10,3,0.5,1.0,1.3408184218656745,3,0,True,-0.3027236076082919,-0.3027236076082919,0.0,-0.30272360760829287
1,2027,10,3,0.5,3.0,4.022455265597023,3,0,True,-0.3027236076082919,-0.3027236076082919,0.0,-0.30272360760829287
2,2028,10,3,0.5,0.0,0.0,8,5,False,-0.6494747723396634,-0.3698297247662152,,-0.6494747723396634
2,2028,10,3,0.5,0.001,0.0015945443971396658,8,5,False,-0.6494747723396634,-0.3698297247662152,,-0.6096111624111716
2,2028,10,3,0.5,0.01,0.015945443971396658,5,2,False,-0.5235063982968154,-0.3698297247662152,,-0.45972462241122886
2,2028,10,3,0.5,0.03,0.04783633191418997,4,1,False,-0.4441884935542842,-0.3698297247662152,,-0.3963521616400941
2,2028,10,3,0.5,0.1,0.15945443971396658,3,0,True,-0.3698297247662152,-0.3698297247662152,0.0,-0.3698297247662151
2,2028,10,3,0.5,0.3,0.4783633191418997,3,0,True,-0.3698297247662152,-0.3698297247662152,0.0,-0.36982972476621523
2,2028,10,3,0.5,1.0,1.5945443971396658,3,0,True,-0.3698297247662152,-0.3698297247662152,0.0,-0.36982972476621434
2,2028,10,3,0.5,3.0,4.783633191418997,3,0,True,-0.3698297247662152,-0.3698297247662152,0.0,-0.36982972476621256
3,2029,10,3,0.5,0.0,0.0,8,5,False,-0.610435136670427,-0.33206880030124253,,-0.610435136670427
3,2029,10,3,0.5,0.001,0.0014473221441993118,7,4,False,-0.6102140907320095,-0.33206880030124253,,-0.5870569364248204
3,2029,10,3,0.5,0.01,0.014473221441993119,6,3,False,-0.5718769051005663,-0.33206880030124253,,-0.4416179121226282
3,2029,10,3,0.5,0.03,0.04341966432597935,4,1,False,-0.43039399445111837,-0.33206880030124253,,-0.38697433012513893
3,2029,10,3,0.5,0.1,0.1447322144199312,3,0,True,-0.33206880030124253,-0.33206880030124253,0.0,-0.33206880030124264
3,2029,10,3,0.5,0.3,0.4341966432597935,3,0,True,-0.33206880030124253,-0.33206880030124253,0.0,-0.3320688003012431
3,2029,10,3,0.5,1.0,1.4473221441993118,3,0,True,-0.33206880030124253,-0.33206880030124253,0.0,-0.3320688003012435
3,2029,10,3,0.5,3.0,4.3419664325979355,3,0,True,-0.33206880030124253,-0.33206880030124253,0.0,-0.3320688003012435
4,2030,10,3,0.5,0.0,0.0,9,6,False,-0.5440615060662701,-0.27558274260789706,,-0.5440615060662701
4,2030,10,3,0.5,0.001,0.0015663751104454625,8,5,False,-0.5374992568705063,-0.27558274260789706,,-0.4983398791093697
4,2030,10,3,0.5,0.01,0.015663751104454626,5,2,False,-0.42780135418468523,-0.27558274260789706,,-0.3651463497668668
4,2030,10,3,0.5,0.03,0.04699125331336387,4,1,False,-0.35784668987781626,-0.27558274260789706,,-0.3108554365644524
4,2030,10,3,0.5,0.1,0.15663751104454626,3,0,True,-0.27558274260789706,-0.27558274260789706,0.0,-0.2755827426078973
4,2030,10,3,0.5,0.3,0.4699125331336387,3,0,True,-0.27558274260789706,-0.27558274260789706,0.0,-0.27558274260789606
4,2030,10,3,0.5,1.0,1.5663751104454624,3,0,True,-0.27558274260789706,-0.27558274260789706,0.0,-0.27558274260789695
4,2030,10,3,0.5,3.0,4.699125331336387,3,0,True,-0.27558274260789706,-0.27558274260789706,0.0,-0.27558274260788806
5,2031,10,3,0.5,0.0,0.0,7,4,False,-0.23974844274894785,-0.1600941223016644,,-0.23974844274894788
5,2031,10,3,0.5,0.001,0.0011081605227593605,6,3,False,-0.23383903019477928,-0.1600941223016644,,-0.22386558548994503
5,2031,10,3,0.5,0.01,0.011081605227593605,4,1,False,-0.19640981798598267,-0.1600941223016644,,-0.18532821275838907
5,2031,10,3,0.5,0.03,0.033244815682780815,4,1,False,-0.19640981798598267,-0.1600941223016644,,-0.16316500230320186
5,2031,10,3,0.5,0.1,0.11081605227593605,3,0,True,-0.1600941223016644,-0.1600941223016644,0.0,-0.16009412230166442
5,2031,10,3,0.5,0.3,0.33244815682780815,3,0,True,-0.1600941223016644,-0.1600941223016644,0.0,-0.1600941223016643
5,2031,10,3,0.5,1.0,1.1081605227593605,3,0,True,-0.1600941223016644,-0.1600941223016644,0.0,-0.16009412230166653
5,2031,10,3,0.5,3.0,3.3244815682780815,3,0,True,-0.1600941223016644,-0.1600941223016644,0.0,-0.16009412230166475
6,2032,10,3,0.5,0.0,0.0,10,7,False,-0.5265446139669321,-0.2849296954965258,,-0.5265446139669319
6,2032,10,3,0.5,0.001,0.0015254253074869918,9,6,False,-0.5218966114051601,-0.2849296954965258,,-0.4669813003356283
6,2032,10,3,0.5,0.01,0.015254253074869916,5,2,False,-0.3802526391079094,-0.2849296954965258,,-0.31923562680842976
6,2032,10,3,0.5,0.03,0.04576275922460975,4,1,False,-0.3321445664659124,-0.2849296954965258,,-0.2863818072413027
6,2032,10,3,0.5,0.1,0.15254253074869917,3,0,True,-0.2849296954965258,-0.2849296954965258,0.0,-0.2849296954965258
6,2032,10,3,0.5,0.3,0.4576275922460975,3,0,True,-0.2849296954965258,-0.2849296954965258,0.0,-0.28492969549652525
6,2032,10,3,0.5,1.0,1.5254253074869917,3,0,True,-0.2849296954965258,-0.2849296954965258,0.0,-0.2849296954965288
6,2032,10,3,0.5,3.0,4.576275922460975,3,0,True,-0.2849296954965258,-0.2849296954965258,0.0,-0.2849296954965297
7,2033,10,3,0.5,0.0,0.0,9,6,False,-0.5154600666910538,-0.33225194834377225,,-0.5154600666910537
7,2033,10,3,0.5,0.001,0.0013242192157883969,8,5,False,-0.5041435936796997,-0.33225194834377225,,-0.4710381132849899
7,2033,10,3,0.5,0.01,0.013242192157883968,5,2,False,-0.41877188973484336,-0.33225194834377225,,-0.3658031211033075
7,2033,10,3,0.5,0.03,0.0397265764736519,4,1,False,-0.3744702729689553,-0.33225194834377225,,-0.3347436964953034
7,2033,10,3,0.5,0.1,0.13242192157883967,3,0,True,-0.33225194834377225,-0.33225194834377225,0.0,-0.33225194834377253
7,2033,10,3,0.5,0.3,0.39726576473651903,3,0,True,-0.33225194834377225,-0.33225194834377225,0.0,-0.33225194834377203
7,2033,10,3,0.5,1.0,1.3242192157883967,3,0,True,-0.33225194834377225,-0.33225194834377225,0.0,-0.3322519483437709
7,2033,10,3,0.5,3.0,3.9726576473651902,3,0,True,-0.33225194834377225,-0.33225194834377225,0.0,-0.3322519483437709
