rebalance_date,next_rebalance_date,strategy,selected,cardinality,feasible,turnover,objective_gap_vs_exact
2020-01-31,2020-02-28,exact,"EFA,EEM,DBC,XLF,XLY",5,True,,0.0
2020-01-31,2020-02-28,top_k_mu,"SPY,EEM,DBC,XLF,XLY",5,True,,4.0491747011123236e-05
2020-01-31,2020-02-28,local_search,"EFA,EEM,DBC,XLF,XLY",5,True,,0.0
2020-02-28,2020-03-31,exact,"IEF,LQD,HYG,SLV,XLE",5,True,1.0,0.0
2020-02-28,2020-03-31,top_k_mu,"IEF,LQD,HYG,SLV,XLE",5,True,1.0,0.0
2020-02-28,2020-03-31,local_search,"IEF,LQD,HYG,SLV,XLE",5,True,1.0,0.0
2020-03-31,2020-04-30,exact,"IWM,EFA,TLT,SHY,XLY",5,True,1.0,0.0
2020-03-31,2020-04-30,top_k_mu,"IWM,EFA,TLT,SHY,XLY",5,True,1.0,0.0
2020-03-31,2020-04-30,local_search,"IWM,EFA,TLT,SHY,XLY",5,True,1.0,0.0
2020-04-30,2020-05-29,exact,"IEF,SHY,VNQ,XLK,XLE",5,True,0.8,0.0
2020-04-30,2020-05-29,top_k_mu,"IEF,SHY,VNQ,XLK,XLE",5,True,0.8,0.0
2020-04-30,2020-05-29,local_search,"IEF,SHY,VNQ,XLK,XLE",5,True,0.8,0.0
2020-05-29,2020-06-30,exact,"EFA,IEF,SHY,XLE,XLY",5,True,0.4,0.0
2020-05-29,2020-06-30,top_k_mu,"IWM,EFA,EEM,XLE,XLY",5,True,0.7999999999999999,0.006900572102348214
2020-05-29,2020-06-30,local_search,"EFA,IEF,SHY,XLE,XLY",5,True,0.4,0.0
2020-06-30,2020-07-31,exact,"QQQ,EFA,TLT,SLV,XLE",5,True,0.6,0.0
2020-06-30,2020-07-31,top_k_mu,"QQQ,SLV,USO,XLE,XLY",5,True,0.6000000000000001,0.004626263195632911
2020-06-30,2020-07-31,local_search,"QQQ,EFA,TLT,SLV,XLE",5,True,0.6,0.0
2020-07-31,2020-08-31,exact,"EFA,TLT,IEF,SHY,XLK",5,True,0.6,0.0
2020-07-31,2020-08-31,top_k_mu,"QQQ,EFA,USO,XLK,XLF",5,True,0.6,0.01619970402607558
2020-07-31,2020-08-31,local_search,"EFA,TLT,IEF,SHY,XLK",5,True,0.6,0.0
2020-08-31,2020-09-30,exact,"EEM,TLT,LQD,GLD,XLE",5,True,0.8,0.0
2020-08-31,2020-09-30,top_k_mu,"IWM,EEM,GLD,XLF,XLE",5,True,0.8,0.009921543124099041
2020-08-31,2020-09-30,local_search,"EEM,TLT,LQD,GLD,XLE",5,True,0.8,0.0
2020-09-30,2020-10-30,exact,"TLT,SLV,XLF,XLE,XLY",5,True,0.6,0.0
2020-09-30,2020-10-30,top_k_mu,"TLT,SLV,XLF,XLE,XLY",5,True,0.6,0.0
2020-09-30,2020-10-30,local_search,"TLT,SLV,XLF,XLE,XLY",5,True,0.6,0.0
2020-10-30,2020-11-30,exact,"QQQ,IWM,TLT,XLK,XLY",5,True,0.6,0.0
2020-10-30,2020-11-30,top_k_mu,"QQQ,IWM,XLK,XLF,XLY",5,True,0.6,0.003607271447505618
2020-10-30,2020-11-30,local_search,"QQQ,IWM,TLT,XLK,XLY",5,True,0.6,0.0
2020-11-30,2020-12-31,exact,"IWM,GLD,USO,XLF,XLE",5,True,0.7999999999999999,0.0
