cardinality,risk_aversion,strategy,n_days,annual_return,annualized_mean_return,annual_volatility,sharpe,max_drawdown,cumulative_return,mean_turnover,mean_objective_gap_vs_exact,feasibility_rate
3,1.0,top_k_mu,2072.0,0.19675252818129985,0.20534665123195361,0.22565096703835558,0.9100189284677398,-0.29345002039906753,3.378941363081065,0.2312925170068027,,1.0
3,1.0,local_search,2072.0,0.1441239773162668,0.15856227377454443,0.21762477374132821,0.7286039684204967,-0.29345002039906753,2.0253715374237364,0.272108843537415,,1.0
3,3.0,top_k_mu,2072.0,0.19675252818129985,0.20534665123195361,0.22565096703835558,0.9100189284677398,-0.29345002039906753,3.378941363081065,0.2312925170068027,,1.0
3,3.0,local_search,2072.0,0.15799467706440984,0.16627223723601453,0.19669694087832207,0.8453219277002968,-0.26320143007194285,2.340484943983085,0.2789115646258503,,1.0
3,10.0,top_k_mu,2072.0,0.19675252818129985,0.20534665123195361,0.22565096703835558,0.9100189284677398,-0.29345002039906753,3.378941363081065,0.2312925170068027,,1.0
3,10.0,local_search,2072.0,0.09930658140660542,0.10392850200188154,0.1350421790805882,0.7696003034715609,-0.20519292293176572,1.1781517915069095,0.32312925170068024,,1.0
3,30.0,top_k_mu,2072.0,0.19675252818129985,0.20534665123195361,0.22565096703835558,0.9100189284677398,-0.29345002039906753,3.378941363081065,0.2312925170068027,,1.0
3,30.0,local_search,2072.0,0.06811199416633507,0.06900959564860279,0.07876977127438264,0.87609237061535,-0.14975808920026468,0.7190702418359187,0.23469387755102042,,1.0
5,1.0,top_k_mu,2072.0,0.15007669528244905,0.15649414503225595,0.18195562976321958,0.8600676177807915,-0.2538327990108604,2.157252170084359,0.21020408163265303,,1.0
5,1.0,local_search,2072.0,0.13872694850327205,0.1455671653681442,0.17635628657443886,0.8254152329676167,-0.25383279901085987,1.910009970408871,0.2183673469387755,,1.0
5,3.0,top_k_mu,2072.0,0.15007669528244905,0.15649414503225595,0.18195562976321958,0.8600676177807915,-0.2538327990108604,2.157252170084359,0.21020408163265303,,1.0
5,3.0,local_search,2072.0,0.12910176532407558,0.1350832584650986,0.16468802652143769,0.8202372772225467,-0.19644604051929493,1.7138332237204832,0.22448979591836735,,1.0
5,10.0,local_search,2072.0,0.10629489719279817,0.10862569638052263,0.12285039773817627,0.8842111900364386,-0.17193552561156977,1.294649535139786,0.20612244897959184,,1.0
5,10.0,top_k_mu,2072.0,0.15007669528244905,0.15649414503225595,0.18195562976321958,0.8600676177807915,-0.2538327990108604,2.157252170084359,0.21020408163265303,,1.0
5,30.0,local_search,2072.0,0.07818930070169627,0.07855538182315211,0.0806391949776675,0.9741588050935716,-0.12725306657809488,0.8570590018923037,0.16122448979591839,,1.0
5,30.0,top_k_mu,2072.0,0.15007669528244905,0.15649414503225595,0.18195562976321958,0.8600676177807915,-0.2538327990108604,2.157252170084359,0.21020408163265303,,1.0
8,1.0,top_k_mu,2072.0,0.13395708025375264,0.1387244334311962,0.16089472643580321,0.8622062170977808,-0.25061373538557863,1.8112891583397168,0.15178571428571427,,1.0
8,1.0,local_search,2072.0,0.12450369745790657,0.1291579649420597,0.1533064199722226,0.8424824281035436,-0.2159956159800085,1.6242895065667393,0.15816326530612246,,1.0
8,3.0,top_k_mu,2072.0,0.13395708025375264,0.1387244334311962,0.16089472643580321,0.8622062170977808,-0.25061373538557863,1.8112891583397168,0.15178571428571427,,1.0
8,3.0,local_search,2072.0,0.11175864972177774,0.11615110501209358,0.14246563763205994,0.8152920728300266,-0.200825894010341,1.3895091377566633,0.15051020408163265,,1.0
8,10.0,local_search,2072.0,0.10172723130680672,0.10342708565960064,0.11409727183215876,0.9064816712861079,-0.14696798235623543,1.2179025913885022,0.15306122448979592,,1.0
8,10.0,top_k_mu,2072.0,0.13395708025375264,0.1387244334311962,0.16089472643580321,0.8622062170977808,-0.25061373538557863,1.8112891583397168,0.15178571428571427,,1.0
8,30.0,top_k_mu,2072.0,0.13395708025375264,0.1387244334311962,0.16089472643580321,0.8622062170977808,-0.25061373538557863,1.8112891583397168,0.15178571428571427,,1.0
8,30.0,local_search,2072.0,0.06421026573862099,0.06591460036763892,0.08558879268702474,0.7701312087514885,-0.1404658771027274,0.6681137045448715,0.11096938775510204,,1.0
