rebalance_date,next_rebalance_date,strategy,selected,cardinality,feasible,turnover,objective_gap_vs_exact
2018-01-31,2018-02-28,exact,"QQQ,EEM,XLK,XLF,XLY",5,True,,0.0
2018-01-31,2018-02-28,top_k_mu,"QQQ,EEM,XLK,XLF,XLY",5,True,,0.0
2018-01-31,2018-02-28,local_search,"QQQ,EEM,XLK,XLF,XLY",5,True,,0.0
2018-01-31,2018-02-28,neal,"EEM,IEF,GLD,XLF,XLY",5,True,,0.001260722119819994
2018-02-28,2018-03-29,exact,"QQQ,EEM,GLD,XLK,XLY",5,True,0.2,0.0
2018-02-28,2018-03-29,top_k_mu,"QQQ,EEM,XLK,XLF,XLY",5,True,0.0,0.00020776681452318226
2018-02-28,2018-03-29,local_search,"QQQ,EEM,GLD,XLK,XLY",5,True,0.2,0.0
2018-02-28,2018-03-29,neal,"EEM,TLT,HYG,DBC,XLK",5,True,0.8,0.0008282518847427629
2018-03-29,2018-04-30,exact,"TLT,GLD,USO,XLK,XLF",5,True,0.6,0.0
2018-03-29,2018-04-30,top_k_mu,"QQQ,EEM,USO,XLK,XLF",5,True,0.2,0.0005681718170050926
2018-03-29,2018-04-30,local_search,"TLT,GLD,USO,XLK,XLF",5,True,0.6,0.0
2018-03-29,2018-04-30,neal,"EEM,GLD,VNQ,XLK,XLE",5,True,0.6,0.0016463505404623693
2018-04-30,2018-05-31,exact,"TLT,DBC,USO,XLK,XLF",5,True,0.2,0.0
2018-04-30,2018-05-31,top_k_mu,"QQQ,EEM,USO,XLK,XLF",5,True,0.0,0.0009309146200698365
2018-04-30,2018-05-31,local_search,"TLT,DBC,USO,XLK,XLF",5,True,0.2,0.0
2018-04-30,2018-05-31,neal,"IWM,EFA,TLT,HYG,XLY",5,True,1.0,0.0009556476474041726
2018-05-31,2018-06-29,exact,"IWM,TLT,DBC,USO,XLK",5,True,0.2,0.0
2018-05-31,2018-06-29,top_k_mu,"QQQ,IWM,DBC,USO,XLK",5,True,0.4,0.00033364630281636394
2018-05-31,2018-06-29,local_search,"IWM,TLT,DBC,USO,XLK",5,True,0.2,0.0
2018-05-31,2018-06-29,neal,"SPY,SHY,VNQ,DBC,XLK",5,True,1.0,0.0009601555398410832
2018-06-29,2018-07-31,exact,"TLT,DBC,USO,XLK,XLY",5,True,0.2,0.0
2018-06-29,2018-07-31,top_k_mu,"QQQ,DBC,USO,XLK,XLY",5,True,0.2,0.0001910933352562397
2018-06-29,2018-07-31,local_search,"TLT,DBC,USO,XLK,XLY",5,True,0.2,0.0
2018-06-29,2018-07-31,neal,"EFA,TLT,IEF,DBC,USO",5,True,0.8,0.0011494765239753561
2018-07-31,2018-08-31,exact,"IWM,TLT,USO,XLK,XLY",5,True,0.2,0.0
2018-07-31,2018-08-31,top_k_mu,"QQQ,USO,XLK,XLE,XLY",5,True,0.2,0.0007145194815024276
2018-07-31,2018-08-31,local_search,"IWM,TLT,USO,XLK,XLY",5,True,0.2,0.0
2018-07-31,2018-08-31,neal,"QQQ,SHY,DBC,USO,XLF",5,True,0.6,0.0005508524042351429
2018-08-31,2018-09-28,exact,"IWM,SHY,USO,XLK,XLY",5,True,0.2,0.0
2018-08-31,2018-09-28,top_k_mu,"QQQ,IWM,USO,XLK,XLY",5,True,0.2,0.00027481829890804244
2018-08-31,2018-09-28,local_search,"IWM,SHY,USO,XLK,XLY",5,True,0.2,0.0
2018-08-31,2018-09-28,neal,"QQQ,SHY,DBC,USO,XLF",5,True,0.0,0.0008358556039205342
2018-09-28,2018-10-31,exact,"SHY,USO,XLK,XLV,XLY",5,True,0.2,0.0
2018-09-28,2018-10-31,top_k_mu,"QQQ,USO,XLK,XLV,XLY",5,True,0.2,0.00027461653339858234
2018-09-28,2018-10-31,local_search,"SHY,USO,XLK,XLV,XLY",5,True,0.2,0.0
2018-09-28,2018-10-31,neal,"SHY,GLD,VNQ,USO,XLK",5,True,0.6,0.0012840047282829008
2018-10-31,2018-11-30,exact,"IEF,SHY,HYG,USO,XLY",5,True,0.4,0.0
2018-10-31,2018-11-30,top_k_mu,"QQQ,USO,XLK,XLV,XLY",5,True,0.0,0.001947555359737964
2018-10-31,2018-11-30,local_search,"IEF,SHY,HYG,USO,XLY",5,True,0.4,0.0
2018-10-31,2018-11-30,neal,"IWM,TLT,SHY,LQD,XLY",5,True,0.8,0.0010524870980922587
2018-11-30,2018-12-31,exact,"IEF,SHY,HYG,XLV,XLY",5,True,0.2,0.0
2018-11-30,2018-12-31,top_k_mu,"SPY,QQQ,XLK,XLV,XLY",5,True,0.2,0.0035613895888067567
2018-11-30,2018-12-31,local_search,"IEF,SHY,HYG,XLV,XLY",5,True,0.2,0.0
2018-11-30,2018-12-31,neal,"IWM,TLT,HYG,VNQ,XLK",5,True,0.6,0.0016653785466979737
2018-12-31,2019-01-31,exact,"TLT,IEF,SHY,GLD,XLV",5,True,0.4,0.0
2018-12-31,2019-01-31,top_k_mu,"QQQ,IEF,SHY,XLV,XLY",5,True,0.4,0.0017077278633956356
2018-12-31,2019-01-31,local_search,"TLT,IEF,SHY,GLD,XLV",5,True,0.4,0.0
2018-12-31,2019-01-31,neal,"SPY,SHY,LQD,SLV,XLV",5,True,1.0,0.001428263206813006
2019-01-31,2019-02-28,exact,"TLT,IEF,SHY,HYG,VNQ",5,True,0.4,0.0
2019-01-31,2019-02-28,top_k_mu,"QQQ,IEF,VNQ,XLV,XLY",5,True,0.2,0.002932963869065227
2019-01-31,2019-02-28,local_search,"TLT,IEF,SHY,HYG,VNQ",5,True,0.4,0.0
2019-01-31,2019-02-28,neal,"IWM,EFA,IEF,LQD,VNQ",5,True,0.8,0.0018068144729747793
2019-02-28,2019-03-29,exact,"TLT,IEF,SHY,HYG,VNQ",5,True,0.0,0.0
2019-02-28,2019-03-29,top_k_mu,"QQQ,VNQ,XLK,XLV,XLY",5,True,0.2,0.004612374849544761
2019-02-28,2019-03-29,local_search,"TLT,IEF,SHY,HYG,VNQ",5,True,0.0,0.0
2019-02-28,2019-03-29,neal,"TLT,HYG,GLD,XLV,XLY",5,True,1.0,0.0010109691563530809
2019-03-29,2019-04-30,exact,"TLT,IEF,HYG,VNQ,XLV",5,True,0.2,0.0
2019-03-29,2019-04-30,top_k_mu,"QQQ,VNQ,XLK,XLV,XLY",5,True,0.0,0.003295401341201199
2019-03-29,2019-04-30,local_search,"TLT,IEF,HYG,VNQ,XLV",5,True,0.2,0.0
2019-03-29,2019-04-30,neal,"SHY,HYG,GLD,VNQ,XLF",5,True,0.6,0.0011814925783151455
2019-04-30,2019-05-31,exact,"TLT,IEF,LQD,VNQ,XLK",5,True,0.4,0.0
2019-04-30,2019-05-31,top_k_mu,"SPY,QQQ,VNQ,XLK,XLY",5,True,0.2,0.0030073388232960095
2019-04-30,2019-05-31,local_search,"TLT,IEF,LQD,VNQ,XLK",5,True,0.4,0.0
2019-04-30,2019-05-31,neal,"SPY,TLT,SHY,LQD,XLY",5,True,0.8,0.0004784279820389736
2019-05-31,2019-06-28,exact,"TLT,IEF,LQD,HYG,VNQ",5,True,0.2,0.0
2019-05-31,2019-06-28,top_k_mu,"TLT,IEF,LQD,VNQ,XLV",5,True,0.8,0.0001444677850773947
2019-05-31,2019-06-28,local_search,"TLT,IEF,LQD,HYG,VNQ",5,True,0.2,0.0
2019-05-31,2019-06-28,neal,"TLT,IEF,LQD,XLV,XLY",5,True,0.4,0.0005338790400686107
2019-06-28,2019-07-31,exact,"TLT,IEF,LQD,GLD,XLK",5,True,0.4,0.0
2019-06-28,2019-07-31,top_k_mu,"QQQ,VNQ,XLK,XLV,XLY",5,True,0.6,0.004235644487828222
2019-06-28,2019-07-31,local_search,"TLT,IEF,LQD,GLD,XLK",5,True,0.4,0.0
2019-06-28,2019-07-31,neal,"IEF,SHY,HYG,GLD,XLV",5,True,0.6,0.0004106795663814031
2019-07-31,2019-08-30,exact,"TLT,IEF,LQD,GLD,XLK",5,True,0.0,0.0
2019-07-31,2019-08-30,top_k_mu,"QQQ,TLT,GLD,VNQ,XLK",5,True,0.4,0.0011219044263815043
2019-07-31,2019-08-30,local_search,"TLT,IEF,LQD,GLD,XLK",5,True,0.0,0.0
2019-07-31,2019-08-30,neal,"TLT,SHY,LQD,XLV,XLY",5,True,0.6,0.0009912250389065456
2019-08-30,2019-09-30,exact,"TLT,IEF,LQD,GLD,VNQ",5,True,0.2,0.0
2019-08-30,2019-09-30,top_k_mu,"TLT,LQD,GLD,SLV,VNQ",5,True,0.4,1.1227161742080171e-05
2019-08-30,2019-09-30,local_search,"TLT,IEF,LQD,GLD,VNQ",5,True,0.2,0.0
2019-08-30,2019-09-30,neal,"TLT,LQD,XLK,XLV,XLY",5,True,0.2,0.0030139053513197115
2019-09-30,2019-10-31,exact,"TLT,IEF,LQD,GLD,VNQ",5,True,0.0,0.0
2019-09-30,2019-10-31,top_k_mu,"TLT,LQD,GLD,SLV,VNQ",5,True,0.0,0.0003372168418584649
2019-09-30,2019-10-31,local_search,"TLT,IEF,LQD,GLD,VNQ",5,True,0.0,0.0
2019-09-30,2019-10-31,neal,"SPY,IEF,LQD,GLD,XLF",5,True,0.7999999999999999,0.0013587099844558255
2019-10-31,2019-11-29,exact,"TLT,LQD,GLD,VNQ,XLK",5,True,0.2,0.0
2019-10-31,2019-11-29,top_k_mu,"TLT,GLD,SLV,VNQ,XLK",5,True,0.2,0.0002232854142294057
2019-10-31,2019-11-29,local_search,"TLT,LQD,GLD,VNQ,XLK",5,True,0.2,0.0
2019-10-31,2019-11-29,neal,"SPY,TLT,SHY,GLD,XLY",5,True,0.6,0.0007926230363980344
2019-11-29,2019-12-31,exact,"TLT,IEF,LQD,GLD,XLK",5,True,0.2,0.0
2019-11-29,2019-12-31,top_k_mu,"QQQ,TLT,GLD,SLV,XLK",5,True,0.2,0.0004924873309440875
2019-11-29,2019-12-31,local_search,"TLT,IEF,LQD,GLD,XLK",5,True,0.2,0.0
2019-11-29,2019-12-31,neal,"SPY,TLT,SHY,SLV,DBC",5,True,0.4,0.0015308612781796804
2019-12-31,2020-01-31,exact,"TLT,GLD,VNQ,XLK,XLF",5,True,0.4,0.0
2019-12-31,2020-01-31,top_k_mu,"SPY,QQQ,USO,XLK,XLF",5,True,0.6,0.0018755745752156187
2019-12-31,2020-01-31,local_search,"TLT,GLD,VNQ,XLK,XLF",5,True,0.4,0.0
